sk_acidente,causa_acidente,tipo_acidente,classificacao_acidente
1,OBJETO ESTÁTICO SOBRE O LEITO CARROÇÁVEL,TOMBAMENTO,NÃO INFORMADO
2,CONDUTOR DORMINDO,COLISÃO FRONTAL,COM VÍTIMAS FERIDAS
3,REAÇÃO TARDIA OU INEFICIENTE DO CONDUTOR,COLISÃO LATERAL MESMO SENTIDO,COM VÍTIMAS FERIDAS
4,REAÇÃO TARDIA OU INEFICIENTE DO CONDUTOR,COLISÃO TRASEIRA,COM VÍTIMAS FERIDAS
5,TRANSITAR NA CONTRAMÃO,COLISÃO FRONTAL,COM VÍTIMAS FERIDAS
6,VELOCIDADE INCOMPATÍVEL,COLISÃO COM OBJETO,COM VÍTIMAS FERIDAS
7,CHUVA,COLISÃO FRONTAL,COM VÍTIMAS FERIDAS
8,VELOCIDADE INCOMPATÍVEL,COLISÃO TRASEIRA,SEM VÍTIMAS
9,FREAR BRUSCAMENTE,INCÊNDIO,SEM VÍTIMAS
10,AUSÊNCIA DE REAÇÃO DO CONDUTOR,COLISÃO COM OBJETO,COM VÍTIMAS FERIDAS
11,ULTRAPASSAGEM INDEVIDA,SAÍDA DE LEITO CARROÇÁVEL,SEM VÍTIMAS
12,TRANSITAR NO ACOSTAMENTO,COLISÃO FRONTAL,COM VÍTIMAS FERIDAS
13,CHUVA,SAÍDA DE LEITO CARROÇÁVEL,COM VÍTIMAS FERIDAS
14,DEMAIS FALHAS MECÂNICAS OU ELÉTRICAS,INCÊNDIO,SEM VÍTIMAS
15,SUICÍDIO (PRESUMIDO),ATROPELAMENTO DE PEDESTRE,COM VÍTIMAS FERIDAS
16,CHUVA,COLISÃO LATERAL SENTIDO OPOSTO,SEM VÍTIMAS
17,MANOBRA DE MUDANÇA DE FAIXA,COLISÃO LATERAL SENTIDO OPOSTO,SEM VÍTIMAS
18,VELOCIDADE INCOMPATÍVEL,SAÍDA DE LEITO CARROÇÁVEL,COM VÍTIMAS FERIDAS
19,MANOBRA DE MUDANÇA DE FAIXA,SAÍDA DE LEITO CARROÇÁVEL,COM VÍTIMAS FERIDAS
20,REAÇÃO TARDIA OU INEFICIENTE DO CONDUTOR,SAÍDA DE LEITO CARROÇÁVEL,COM VÍTIMAS FERIDAS
21,CONDUTOR DORMINDO,SAÍDA DE LEITO CARROÇÁVEL,COM VÍTIMAS FERIDAS
22,MANOBRA DE MUDANÇA DE FAIXA,COLISÃO LATERAL MESMO SENTIDO,COM VÍTIMAS FERIDAS
23,DEMAIS FALHAS MECÂNICAS OU ELÉTRICAS,INCÊNDIO,COM VÍTIMAS FERIDAS
24,AUSÊNCIA DE REAÇÃO DO CONDUTOR,COLISÃO LATERAL SENTIDO OPOSTO,COM VÍTIMAS FERIDAS
25,CARGA EXCESSIVA E/OU MAL ACONDICIONADA,DERRAMAMENTO DE CARGA,COM VÍTIMAS FERIDAS
26,REAÇÃO TARDIA OU INEFICIENTE DO CONDUTOR,COLISÃO LATERAL SENTIDO OPOSTO,COM VÍTIMAS FERIDAS
27,AUSÊNCIA DE REAÇÃO DO CONDUTOR,COLISÃO TRASEIRA,COM VÍTIMAS FERIDAS
28,CONDUTOR DEIXOU DE MANTER DISTÂNCIA DO VEÍCULO DA FRENTE,COLISÃO TRASEIRA,COM VÍTIMAS FERIDAS
29,DESRESPEITAR A PREFERÊNCIA NO CRUZAMENTO,COLISÃO TRANSVERSAL,COM VÍTIMAS FATAIS
30,VELOCIDADE INCOMPATÍVEL,COLISÃO FRONTAL,COM VÍTIMAS FATAIS
31,AUSÊNCIA DE REAÇÃO DO CONDUTOR,SAÍDA DE LEITO CARROÇÁVEL,COM VÍTIMAS FERIDAS
32,CARGA EXCESSIVA E/OU MAL ACONDICIONADA,COLISÃO LATERAL SENTIDO OPOSTO,COM VÍTIMAS FERIDAS
