sk_local,uf,municipio,br,km,regional,delegacia,uop
1,TO,ARAGUAINA,153,155.0,SPRF-TO,DEL02-TO,UOP01-DEL02-TO
2,MG,RIO CASCA,262,0.0,SPRF-MG,DEL03-MG,UOP03-DEL03-MG
3,SC,BIGUACU,101,193.0,SPRF-SC,DEL01-SC,UOP01-DEL01-SC
4,DF,BRASILIA,60,23.0,SPRF-DF,DEL03-DF,UOP01-DEL03-DF
5,MT,MATUPA,163,1044.0,SPRF-MT,DEL06-MT,UOP03-DEL06-MT
6,SP,BARRA DO TURVO,116,568.0,SPRF-SP,DEL05-SP,UOP02-DEL05-SP
7,MG,PATOS DE MINAS,365,0.0,SPRF-MG,DEL10-MG,UOP01-DEL10-MG
8,GO,CRISTALINA,40,0.0,SPRF-DF,DEL01-DF,UOP02-DEL01-DF
9,MG,FRONTEIRA,153,0.0,SPRF-MG,DEL13-MG,UOP02-DEL13-MG
10,ES,VENDA NOVA DO IMIGRANTE,262,0.0,SPRF-ES,DEL01-ES,UOP02-DEL01-ES
11,BA,SANTA BARBARA,116,386.0,SPRF-BA,DEL02-BA,UOP01-DEL02-BA
12,SC,ITAJAI,101,127.0,SPRF-SC,DEL04-SC,UOP04-DEL04-SC
13,MT,SANTO ANTONIO DO LEVERGER,364,0.0,SPRF-MT,DEL05-MT,UOP02-DEL05-MT
14,GO,BOM JARDIM DE GOIAS,158,40.0,SPRF-GO,DEL04-GO,UOP02-DEL04-GO
15,ES,LINHARES,101,148.0,SPRF-ES,DEL04-ES,UOP01-DEL04-ES
16,MS,CAARAPO,163,0.0,SPRF-MS,DEL04-MS,UOP02-DEL04-MS
17,MS,RIO VERDE DE MATO GROSSO,163,653.0,SPRF-MS,DEL06-MS,UOP02-DEL06-MS
18,PR,CAMPINA GRANDE DO SUL,116,0.0,SPRF-PR,DEL01-PR,UOP02-DEL01-PR
19,MG,FRANCISCO SA,251,0.0,SPRF-MG,DEL12-MG,UOP01-DEL12-MG
20,SP,REGISTRO,116,451.0,SPRF-SP,DEL05-SP,UOP01-DEL05-SP
21,PA,BENEVIDES,316,26.0,SPRF-PA,DEL01-PA,UOP01-DEL01-PA
22,MG,TRES CORACOES,381,0.0,SPRF-MG,DEL16-MG,UOP02-DEL16-MG
23,SC,ARAQUARI,101,56.0,SPRF-SC,DEL03-SC,UOP01-DEL03-SC
24,ES,GUARAPARI,101,0.0,SPRF-ES,DEL03-ES,UOP01-DEL03-ES
25,BA,SANTO ESTEVAO,116,457.0,SPRF-BA,DEL02-BA,UOP01-DEL02-BA
26,RJ,GUAPIMIRIM,493,10.0,SPRF-RJ,DEL04-RJ,UOP02-DEL04-RJ
27,PR,MAUA DA SERRA,376,301.0,SPRF-PR,DEL07-PR,UOP02-DEL07-PR
28,RJ,BARRA MANSA,116,278.0,SPRF-RJ,DEL07-RJ,UOP02-DEL07-RJ
29,BA,TUCANO,116,273.0,SPRF-BA,DEL07-BA,UOP02-DEL07-BA
30,MS,CAMPO GRANDE,163,491.0,SPRF-MS,DEL01-MS,UOP02-DEL01-MS
31,SC,PALHOCA,101,0.0,SPRF-SC,DEL01-SC,UOP02-DEL01-SC
32,SC,SAO JOSE,101,0.0,SPRF-SC,DEL01-SC,UOP01-DEL01-SC
33,MG,ANTONIO DIAS,381,290.0,SPRF-MG,DEL03-MG,UOP02-DEL03-MG
34,PR,GUAIRACA,376,0.0,SPRF-PR,DEL09-PR,UOP02-DEL09-PR
35,RS,PELOTAS,116,491.0,SPRF-RS,DEL07-RS,UOP01-DEL07-RS
36,PR,MALLET,153,378.0,SPRF-PR,DEL08-PR,UOP02-DEL08-PR
37,CE,JATI,116,0.0,SPRF-CE,DEL05-CE,UOP03-DEL05-CE
38,RJ,BARRA DO PIRAI,393,268.0,SPRF-RJ,DEL05-RJ,UOP04-DEL05-RJ
39,PI,BERTOLINIA,135,0.0,SPRF-PI,DEL03-PI,UOP01-DEL03-PI
40,PR,IMBAU,376,389.0,SPRF-PR,DEL03-PR,UOP02-DEL03-PR
41,MG,LAVRAS,381,0.0,SPRF-MG,DEL04-MG,UOP02-DEL04-MG
42,AL,TEOTONIO VILELA,101,172.0,SPRF-AL,DEL02-AL,UOP02-DEL02-AL
43,MS,MIRANDA,262,545.0,SPRF-MS,DEL03-MS,UOP02-DEL03-MS
44,PR,IRATI,153,336.0,SPRF-PR,DEL08-PR,UOP02-DEL08-PR
45,RJ,NOVA IGUACU,493,60.0,SPRF-RJ,DEL01-RJ,UOP03-DEL01-RJ
46,CE,ARACATI,304,0.0,SPRF-CE,DEL03-CE,UOP02-DEL03-CE
47,BA,CANDIDO SALES,116,0.0,SPRF-BA,DEL08-BA,UOP03-DEL08-BA
48,BA,NOVA ITARANA,116,582.0,SPRF-BA,DEL03-BA,UOP02-DEL03-BA
49,RO,OURO PRETO DO OESTE,364,389.0,SPRF-RO,DEL03-RO,UOP02-DEL03-RO
50,RJ,BARRA MANSA,116,0.0,SPRF-RJ,DEL07-RJ,UOP02-DEL07-RJ
51,TO,TUPIRAMA,235,0.0,SPRF-TO,DEL02-TO,UOP02-DEL02-TO
52,MG,FERVEDOURO,116,0.0,SPRF-MG,DEL07-MG,UOP02-DEL07-MG
53,PR,CAPITAO LEONIDAS MARQUES,163,130.0,SPRF-PR,DEL05-PR,UOP05-DEL05-PR
54,MG,ESTIVA,381,878.0,SPRF-MG,DEL16-MG,UOP01-DEL16-MG
55,MG,CENTRALINA,153,24.0,SPRF-MG,DEL15-MG,UOP03-DEL15-MG
56,SP,JUQUITIBA,116,324.0,SPRF-SP,DEL04-SP,UOP03-DEL04-SP
57,RN,ANGICOS,304,0.0,SPRF-RN,DEL01-RN,UOP03-DEL01-RN
58,SC,PORTO BELO,101,155.0,SPRF-SC,DEL04-SC,UOP03-DEL04-SC
59,BA,RIACHAO DAS NEVES,135,0.0,SPRF-BA,DEL10-BA,UOP01-DEL10-BA
60,MG,RIBEIRAO DAS NEVES,40,514.0,SPRF-MG,DEL01-MG,UOP02-DEL01-MG
61,PE,ABREU E LIMA,101,0.0,SPRF-PE,DEL01-PE,UOP02-DEL01-PE
62,SE,JAPARATUBA,101,54.0,SPRF-SE,DEL02-SE,UOP02-DEL02-SE
63,CE,RUSSAS,116,163.0,SPRF-CE,DEL03-CE,UOP01-DEL03-CE
64,PE,PEDRA,424,0.0,SPRF-PE,DEL04-PE,UOP02-DEL04-PE
65,MS,RIBAS DO RIO PARDO,262,158.0,SPRF-MS,DEL07-MS,UOP02-DEL07-MS
66,MG,CURVELO,40,0.0,SPRF-MG,DEL02-MG,UOP01-DEL02-MG
67,RJ,GUAPIMIRIM,116,108.0,SPRF-RJ,DEL04-RJ,UOP01-DEL04-RJ
68,BA,CATU,110,356.0,SPRF-BA,DEL01-BA,UOP04-DEL01-BA
69,PR,PAULO FRONTIN,476,0.0,SPRF-PR,DEL02-PR,UOP03-DEL02-PR
