sk,id_natural,regional,dt_inicio,dt_fim,flag_atual
1,ARAGUAINA,SPRF-TO,2026-01-01,2026-06-26,False
2,RIO CASCA,SPRF-MG,2026-01-01,,True
3,BIGUACU,SPRF-SC,2026-01-01,,True
4,BRASILIA,SPRF-DF,2026-01-01,2026-06-26,False
5,MATUPA,SPRF-MT,2026-01-01,,True
6,BARRA DO TURVO,SPRF-SP,2026-01-01,,True
7,PATOS DE MINAS,SPRF-MG,2026-01-01,,True
8,CRISTALINA,SPRF-DF,2026-01-01,,True
9,FRONTEIRA,SPRF-MG,2026-01-01,,True
10,VENDA NOVA DO IMIGRANTE,SPRF-ES,2026-01-01,,True
11,SANTA BARBARA,SPRF-BA,2026-01-01,,True
12,ITAJAI,SPRF-SC,2026-01-01,,True
13,SANTO ANTONIO DO LEVERGER,SPRF-MT,2026-01-01,,True
14,BOM JARDIM DE GOIAS,SPRF-GO,2026-01-01,,True
15,LINHARES,SPRF-ES,2026-01-01,,True
16,CAARAPO,SPRF-MS,2026-01-01,,True
17,RIO VERDE DE MATO GROSSO,SPRF-MS,2026-01-01,,True
18,CAMPINA GRANDE DO SUL,SPRF-PR,2026-01-01,,True
19,FRANCISCO SA,SPRF-MG,2026-01-01,,True
20,REGISTRO,SPRF-SP,2026-01-01,,True
21,BENEVIDES,SPRF-PA,2026-01-01,,True
22,TRES CORACOES,SPRF-MG,2026-01-01,,True
23,ARAQUARI,SPRF-SC,2026-01-01,,True
24,GUARAPARI,SPRF-ES,2026-01-01,,True
25,SANTO ESTEVAO,SPRF-BA,2026-01-01,,True
26,GUAPIMIRIM,SPRF-RJ,2026-01-01,,True
27,MAUA DA SERRA,SPRF-PR,2026-01-01,,True
28,BARRA MANSA,SPRF-RJ,2026-01-01,,True
29,TUCANO,SPRF-BA,2026-01-01,,True
30,CAMPO GRANDE,SPRF-MS,2026-01-01,,True
31,PALHOCA,SPRF-SC,2026-01-01,,True
32,SAO JOSE,SPRF-SC,2026-01-01,,True
33,ANTONIO DIAS,SPRF-MG,2026-01-01,,True
34,GUAIRACA,SPRF-PR,2026-01-01,,True
35,PELOTAS,SPRF-RS,2026-01-01,,True
36,MALLET,SPRF-PR,2026-01-01,,True
37,JATI,SPRF-CE,2026-01-01,,True
38,BARRA DO PIRAI,SPRF-RJ,2026-01-01,,True
39,BERTOLINIA,SPRF-PI,2026-01-01,,True
40,IMBAU,SPRF-PR,2026-01-01,,True
41,LAVRAS,SPRF-MG,2026-01-01,,True
42,TEOTONIO VILELA,SPRF-AL,2026-01-01,,True
43,MIRANDA,SPRF-MS,2026-01-01,,True
44,IRATI,SPRF-PR,2026-01-01,,True
45,NOVA IGUACU,SPRF-RJ,2026-01-01,,True
46,ARACATI,SPRF-CE,2026-01-01,,True
47,CANDIDO SALES,SPRF-BA,2026-01-01,,True
48,NOVA ITARANA,SPRF-BA,2026-01-01,,True
49,OURO PRETO DO OESTE,SPRF-RO,2026-01-01,,True
50,TUPIRAMA,SPRF-TO,2026-01-01,,True
51,FERVEDOURO,SPRF-MG,2026-01-01,,True
52,CAPITAO LEONIDAS MARQUES,SPRF-PR,2026-01-01,,True
53,ESTIVA,SPRF-MG,2026-01-01,,True
54,CENTRALINA,SPRF-MG,2026-01-01,,True
55,JUQUITIBA,SPRF-SP,2026-01-01,,True
56,ANGICOS,SPRF-RN,2026-01-01,,True
57,PORTO BELO,SPRF-SC,2026-01-01,,True
58,RIACHAO DAS NEVES,SPRF-BA,2026-01-01,,True
59,RIBEIRAO DAS NEVES,SPRF-MG,2026-01-01,,True
60,ABREU E LIMA,SPRF-PE,2026-01-01,,True
61,JAPARATUBA,SPRF-SE,2026-01-01,,True
62,RUSSAS,SPRF-CE,2026-01-01,,True
63,PEDRA,SPRF-PE,2026-01-01,,True
64,RIBAS DO RIO PARDO,SPRF-MS,2026-01-01,,True
65,CURVELO,SPRF-MG,2026-01-01,,True
66,CATU,SPRF-BA,2026-01-01,,True
67,PAULO FRONTIN,SPRF-PR,2026-01-01,,True
68,ANGRA DOS REIS,SPRF-RJ,2026-01-01,,True
69,ITATIM,SPRF-BA,2026-01-01,,True
70,SERRA TALHADA,SPRF-PE,2026-01-01,,True
71,PRIMAVERA DO LESTE,SPRF-MT,2026-01-01,,True
72,MONTE CASTELO,SPRF-SC,2026-01-01,,True
73,CORONEL FABRICIANO,SPRF-MG,2026-01-01,,True
74,SAO MATEUS,SPRF-ES,2026-01-01,,True
75,TROMBUDO CENTRAL,SPRF-SC,2026-01-01,,True
76,PONTA GROSSA,SPRF-PR,2026-01-01,,True
77,SANTO AMARO DO MARANHAO,SPRF-MA,2026-01-01,,True
78,PARANAIBA,SPRF-MS,2026-01-01,,True
