sk_via,fase_dia,sentido_via,condicao_metereologica,tipo_pista,tracado_via,uso_solo
1,AMANHECER,CRESCENTE,CÉU CLARO,SIMPLES,ACLIVE;RETA,NÃO
2,PLENO DIA,CRESCENTE,CÉU CLARO,SIMPLES,RETA,NÃO
3,AMANHECER,CRESCENTE,NUBLADO,DUPLA,CURVA,SIM
4,PLENO DIA,DECRESCENTE,CÉU CLARO,DUPLA,ACLIVE;RETA,NÃO
5,AMANHECER,DECRESCENTE,SOL,SIMPLES,RETA,NÃO
6,PLENO DIA,DECRESCENTE,CÉU CLARO,DUPLA,DECLIVE;CURVA,NÃO
7,PLENO DIA,DECRESCENTE,CHUVA,SIMPLES,ACLIVE;CURVA,NÃO
8,PLENO DIA,DECRESCENTE,NUBLADO,SIMPLES,RETA,NÃO
9,PLENO DIA,DECRESCENTE,CÉU CLARO,SIMPLES,ACLIVE;CURVA,NÃO
10,PLENO DIA,DECRESCENTE,SOL,SIMPLES,RETA,SIM
11,PLENO DIA,DECRESCENTE,SOL,SIMPLES,ACLIVE,NÃO
12,PLENO DIA,CRESCENTE,CÉU CLARO,DUPLA,RETA,NÃO
13,PLENO DIA,CRESCENTE,CHUVA,DUPLA,DECLIVE;CURVA,NÃO
14,PLENO DIA,DECRESCENTE,CÉU CLARO,SIMPLES,RETA,NÃO
15,PLENO DIA,DECRESCENTE,CÉU CLARO,SIMPLES,RETA,SIM
16,PLENA NOITE,DECRESCENTE,CHUVA,SIMPLES,RETA;ACLIVE,NÃO
17,PLENA NOITE,DECRESCENTE,NUBLADO,SIMPLES,RETA;DECLIVE,NÃO
18,ANOITECER,DECRESCENTE,CHUVA,DUPLA,CURVA,NÃO
19,PLENA NOITE,CRESCENTE,NUBLADO,SIMPLES,CURVA;DECLIVE,NÃO
20,PLENA NOITE,DECRESCENTE,NUBLADO,DUPLA,RETA,NÃO
21,PLENA NOITE,CRESCENTE,CÉU CLARO,DUPLA,RETA,SIM
22,PLENA NOITE,CRESCENTE,CHUVA,DUPLA,CURVA;ACLIVE,NÃO
23,AMANHECER,DECRESCENTE,NUBLADO,DUPLA,RETA,SIM
24,AMANHECER,CRESCENTE,CÉU CLARO,DUPLA,RETA,NÃO
25,PLENO DIA,DECRESCENTE,CÉU CLARO,DUPLA,RETA;ACLIVE,NÃO
26,PLENO DIA,CRESCENTE,CÉU CLARO,DUPLA,CURVA,NÃO
27,PLENO DIA,CRESCENTE,CÉU CLARO,DUPLA,CURVA,SIM
28,PLENA NOITE,DECRESCENTE,CÉU CLARO,SIMPLES,RETA,NÃO
29,AMANHECER,CRESCENTE,NUBLADO,SIMPLES,RETA,SIM
30,PLENO DIA,DECRESCENTE,CÉU CLARO,DUPLA,RETA,SIM
31,PLENO DIA,DECRESCENTE,CHUVA,SIMPLES,ROTATÓRIA;RETA;INTERSEÇÃO DE VIAS,NÃO
32,PLENO DIA,DECRESCENTE,CÉU CLARO,SIMPLES,DESVIO TEMPORÁRIO;RETA;EM OBRAS,NÃO
33,PLENO DIA,DECRESCENTE,CÉU CLARO,SIMPLES,CURVA,SIM
34,PLENO DIA,DECRESCENTE,NUBLADO,SIMPLES,RETA;INTERSEÇÃO DE VIAS,SIM
35,AMANHECER,DECRESCENTE,NUBLADO,SIMPLES,RETA,NÃO
36,PLENO DIA,CRESCENTE,CHUVA,DUPLA,DECLIVE;RETA,NÃO
37,PLENA NOITE,CRESCENTE,CÉU CLARO,SIMPLES,CURVA,NÃO
38,PLENO DIA,CRESCENTE,NUBLADO,SIMPLES,DECLIVE;RETA,NÃO
39,PLENO DIA,DECRESCENTE,NUBLADO,SIMPLES,RETA,SIM
40,PLENO DIA,DECRESCENTE,NUBLADO,DUPLA,RETA,NÃO
41,ANOITECER,CRESCENTE,NUBLADO,SIMPLES,RETA;DECLIVE,NÃO
42,AMANHECER,CRESCENTE,CÉU CLARO,SIMPLES,RETA;DECLIVE,NÃO
43,PLENO DIA,CRESCENTE,CÉU CLARO,SIMPLES,RETA;DECLIVE,NÃO
44,PLENA NOITE,DECRESCENTE,CHUVA,DUPLA,CURVA,NÃO
45,PLENA NOITE,CRESCENTE,NUBLADO,SIMPLES,PONTE;RETA;ACLIVE,NÃO
46,PLENA NOITE,DECRESCENTE,NUBLADO,SIMPLES,RETA,NÃO
47,PLENA NOITE,DECRESCENTE,CÉU CLARO,DUPLA,RETA,NÃO
48,PLENA NOITE,CRESCENTE,CÉU CLARO,DUPLA,RETA,NÃO
49,PLENA NOITE,DECRESCENTE,CHUVA,DUPLA,RETA,NÃO
50,PLENA NOITE,CRESCENTE,NUBLADO,DUPLA,RETA,NÃO
51,AMANHECER,DECRESCENTE,NUBLADO,DUPLA,RETA,NÃO
52,PLENO DIA,DECRESCENTE,CÉU CLARO,MÚLTIPLA,RETA,SIM
53,PLENO DIA,DECRESCENTE,CÉU CLARO,SIMPLES,EM OBRAS;RETA;INTERSEÇÃO DE VIAS,NÃO
54,PLENO DIA,DECRESCENTE,CÉU CLARO,SIMPLES,CURVA,NÃO
55,PLENO DIA,CRESCENTE,CÉU CLARO,SIMPLES,CURVA,SIM
56,PLENO DIA,CRESCENTE,NUBLADO,SIMPLES,RETA,NÃO
57,PLENO DIA,DECRESCENTE,CÉU CLARO,SIMPLES,PONTE;RETA;DECLIVE,NÃO
58,PLENO DIA,DECRESCENTE,CÉU CLARO,DUPLA,RETA,NÃO
59,PLENO DIA,DECRESCENTE,SOL,SIMPLES,DECLIVE;RETA,NÃO
60,PLENO DIA,DECRESCENTE,CHUVA,SIMPLES,CURVA,NÃO
61,PLENA NOITE,CRESCENTE,CÉU CLARO,SIMPLES,RETA,SIM
62,PLENA NOITE,DECRESCENTE,NUBLADO,SIMPLES,RETA,SIM
63,PLENA NOITE,DECRESCENTE,CÉU CLARO,SIMPLES,RETA;ACLIVE,NÃO
64,PLENA NOITE,CRESCENTE,CHUVA,SIMPLES,CURVA,NÃO
65,PLENA NOITE,DECRESCENTE,NUBLADO,SIMPLES,CURVA,NÃO
66,PLENA NOITE,DECRESCENTE,CÉU CLARO,SIMPLES,CURVA;ACLIVE,NÃO
67,PLENA NOITE,CRESCENTE,CÉU CLARO,SIMPLES,RETA,NÃO
68,AMANHECER,DECRESCENTE,CÉU CLARO,SIMPLES,EM OBRAS,NÃO
69,PLENO DIA,CRESCENTE,CÉU CLARO,SIMPLES,RETA;ACLIVE,SIM
70,PLENO DIA,DECRESCENTE,SOL,DUPLA,ACLIVE;RETA,SIM
71,PLENO DIA,DECRESCENTE,NUBLADO,DUPLA,RETA,SIM
72,PLENO DIA,CRESCENTE,NUBLADO,SIMPLES,ACLIVE,NÃO
73,PLENO DIA,DECRESCENTE,CÉU CLARO,SIMPLES,ACLIVE,NÃO
74,PLENA NOITE,DECRESCENTE,IGNORADO,DUPLA,CURVA,SIM
75,PLENO DIA,CRESCENTE,NUBLADO,DUPLA,RETA;ACLIVE,NÃO
76,PLENO DIA,CRESCENTE,SOL,SIMPLES,RETA,NÃO
77,PLENA NOITE,DECRESCENTE,NUBLADO,DUPLA,RETA,SIM
78,PLENO DIA,DECRESCENTE,CÉU CLARO,DUPLA,CURVA,NÃO
79,PLENA NOITE,CRESCENTE,CÉU CLARO,SIMPLES,ACLIVE;CURVA,NÃO
80,PLENO DIA,DECRESCENTE,NUBLADO,SIMPLES,INTERSEÇÃO DE VIAS,NÃO
81,ANOITECER,DECRESCENTE,CHUVA,DUPLA,RETA,NÃO
82,PLENA NOITE,DECRESCENTE,GAROA/CHUVISCO,SIMPLES,CURVA;PONTE;DECLIVE,NÃO
83,AMANHECER,DECRESCENTE,GAROA/CHUVISCO,SIMPLES,RETA,NÃO
84,PLENA NOITE,CRESCENTE,CÉU CLARO,DUPLA,ACLIVE;RETA,NÃO
85,PLENA NOITE,CRESCENTE,CÉU CLARO,SIMPLES,RETA;DECLIVE,SIM
86,PLENO DIA,CRESCENTE,CHUVA,SIMPLES,CURVA;DECLIVE,NÃO
87,PLENO DIA,CRESCENTE,CÉU CLARO,MÚLTIPLA,RETA,SIM
88,AMANHECER,DECRESCENTE,NEVOEIRO/NEBLINA,SIMPLES,RETA,NÃO
89,PLENO DIA,DECRESCENTE,CÉU CLARO,DUPLA,DECLIVE;RETA,NÃO
90,PLENO DIA,CRESCENTE,CÉU CLARO,DUPLA,RETA;DECLIVE,SIM
91,PLENO DIA,DECRESCENTE,CÉU CLARO,SIMPLES,RETA;INTERSEÇÃO DE VIAS,NÃO
92,AMANHECER,CRESCENTE,NUBLADO,SIMPLES,RETA,NÃO
93,PLENO DIA,CRESCENTE,NUBLADO,DUPLA,RETA,NÃO
94,PLENO DIA,CRESCENTE,CHUVA,MÚLTIPLA,DECLIVE;CURVA,SIM
95,PLENO DIA,DECRESCENTE,CÉU CLARO,DUPLA,ACLIVE,SIM
96,PLENO DIA,CRESCENTE,CÉU CLARO,SIMPLES,INTERSEÇÃO DE VIAS,SIM
97,PLENO DIA,CRESCENTE,CÉU CLARO,DUPLA,CURVA;ACLIVE,SIM
98,PLENO DIA,DECRESCENTE,CHUVA,DUPLA,CURVA;DECLIVE,NÃO
99,PLENO DIA,DECRESCENTE,CÉU CLARO,SIMPLES,DECLIVE;RETA,NÃO
100,PLENO DIA,DECRESCENTE,CÉU CLARO,DUPLA,INTERSEÇÃO DE VIAS,NÃO
101,PLENO DIA,CRESCENTE,CÉU CLARO,SIMPLES,RETA,SIM
102,PLENO DIA,CRESCENTE,CÉU CLARO,DUPLA,RETA,SIM
103,ANOITECER,DECRESCENTE,CÉU CLARO,DUPLA,ACLIVE;CURVA,NÃO
104,PLENO DIA,DECRESCENTE,SOL,DUPLA,DESVIO TEMPORÁRIO,SIM
105,PLENO DIA,DECRESCENTE,CÉU CLARO,SIMPLES,ROTATÓRIA,SIM
106,PLENO DIA,CRESCENTE,SOL,SIMPLES,CURVA,SIM
107,PLENA NOITE,CRESCENTE,VENTO,DUPLA,RETA,SIM
108,PLENA NOITE,DECRESCENTE,CHUVA,DUPLA,RETA,SIM
109,PLENA NOITE,CRESCENTE,NUBLADO,SIMPLES,DECLIVE;PONTE;RETA,NÃO
110,PLENA NOITE,CRESCENTE,NUBLADO,SIMPLES,RETA,NÃO
111,PLENA NOITE,DECRESCENTE,CÉU CLARO,DUPLA,DECLIVE;RETA,NÃO
112,PLENA NOITE,CRESCENTE,CÉU CLARO,MÚLTIPLA,RETA;ACLIVE,SIM
113,PLENA NOITE,DECRESCENTE,CÉU CLARO,SIMPLES,DECLIVE;RETA,NÃO
114,PLENO DIA,CRESCENTE,CÉU CLARO,SIMPLES,ACLIVE,SIM
115,PLENA NOITE,DECRESCENTE,NUBLADO,SIMPLES,DECLIVE;RETA,NÃO
116,PLENO DIA,DECRESCENTE,CHUVA,SIMPLES,RETA,NÃO
117,PLENO DIA,DECRESCENTE,CHUVA,SIMPLES,RETA;EM OBRAS,SIM
118,PLENO DIA,DECRESCENTE,NUBLADO,DUPLA,CURVA;DECLIVE,NÃO
119,PLENO DIA,CRESCENTE,SOL,SIMPLES,CURVA;ACLIVE,NÃO
120,PLENO DIA,CRESCENTE,CÉU CLARO,MÚLTIPLA,CURVA,NÃO
121,PLENO DIA,DECRESCENTE,CHUVA,DUPLA,RETA;DECLIVE,NÃO
122,PLENO DIA,CRESCENTE,CHUVA,SIMPLES,RETA,NÃO
123,PLENO DIA,CRESCENTE,CÉU CLARO,DUPLA,RETA;EM OBRAS;ACLIVE,SIM
124,PLENO DIA,DECRESCENTE,CHUVA,SIMPLES,DECLIVE;RETA,NÃO
125,PLENO DIA,DECRESCENTE,CÉU CLARO,SIMPLES,DECLIVE;CURVA,NÃO
126,PLENO DIA,DECRESCENTE,NUBLADO,SIMPLES,RETA;RETORNO REGULAMENTADO,SIM
127,PLENO DIA,DECRESCENTE,CHUVA,SIMPLES,RETA;ACLIVE,NÃO
128,PLENO DIA,DECRESCENTE,SOL,SIMPLES,RETA,NÃO
129,PLENO DIA,CRESCENTE,CÉU CLARO,SIMPLES,ROTATÓRIA,SIM
130,PLENO DIA,CRESCENTE,CHUVA,SIMPLES,CURVA,NÃO
131,PLENO DIA,CRESCENTE,CHUVA,DUPLA,CURVA,NÃO
132,PLENA NOITE,CRESCENTE,NUBLADO,DUPLA,RETA,SIM
133,PLENA NOITE,DECRESCENTE,NUBLADO,SIMPLES,ACLIVE;CURVA,NÃO
134,PLENA NOITE,DECRESCENTE,CÉU CLARO,SIMPLES,ACLIVE;RETA,NÃO
135,PLENA NOITE,CRESCENTE,GAROA/CHUVISCO,SIMPLES,DECLIVE;CURVA,NÃO
136,PLENA NOITE,DECRESCENTE,CÉU CLARO,SIMPLES,CURVA,NÃO
137,AMANHECER,CRESCENTE,NEVOEIRO/NEBLINA,SIMPLES,CURVA,NÃO
138,AMANHECER,DECRESCENTE,CHUVA,SIMPLES,ACLIVE;INTERSEÇÃO DE VIAS;CURVA;ROTATÓRIA,SIM
139,PLENO DIA,CRESCENTE,GAROA/CHUVISCO,DUPLA,CURVA,NÃO
140,PLENA NOITE,DECRESCENTE,GAROA/CHUVISCO,SIMPLES,CURVA,NÃO
