id_fato,sk_data,sk_local,sk_acidente,sk_via,pessoas,mortos,feridos_leves,feridos_graves,feridos,ilesos,veiculos
1,1,1,1,1,3,1,0,0,0,1,5
2,1,2,2,2,6,0,0,4,4,1,3
3,1,3,3,3,3,0,1,0,1,1,4
4,1,4,4,4,3,0,1,0,1,1,3
5,1,5,5,5,3,0,0,1,1,1,5
6,1,6,6,6,2,0,1,0,1,0,2
7,1,7,7,7,3,0,2,0,2,1,2
8,1,8,8,8,3,0,0,0,0,2,5
9,1,9,9,9,2,0,0,0,0,1,2
10,1,10,10,10,3,0,0,1,1,0,3
11,1,11,11,11,4,0,0,0,0,1,4
12,1,12,12,12,2,0,1,0,1,1,2
13,1,13,13,13,1,0,1,0,1,0,1
14,1,14,14,14,2,0,0,0,0,1,3
15,1,15,15,15,3,0,0,1,1,1,3
16,1,16,16,16,4,0,0,0,0,3,4
17,1,17,17,17,5,0,0,0,0,4,3
18,1,18,18,18,2,0,0,1,1,0,2
19,1,19,18,19,2,0,1,0,1,0,3
20,2,20,19,20,2,0,1,0,1,0,2
21,2,21,20,21,2,0,0,1,1,0,2
22,2,22,21,22,2,0,0,2,2,0,1
23,2,23,22,23,4,0,1,0,1,1,6
24,2,24,10,24,2,0,1,0,1,1,1
25,2,25,23,25,2,0,1,0,1,0,3
26,2,26,24,14,3,0,1,0,1,1,4
27,2,27,20,26,2,0,1,0,1,0,2
28,2,28,25,27,3,0,1,0,1,1,2
29,1,29,26,28,3,0,1,0,1,2,2
30,2,30,27,29,3,0,1,0,1,2,2
31,2,31,19,30,2,0,1,0,1,0,2
32,2,32,28,30,2,0,1,0,1,1,2
33,2,33,2,2,6,0,5,0,5,1,3
34,2,34,29,31,5,1,0,2,2,1,5
35,2,35,30,32,26,11,7,2,9,4,6
36,2,36,31,14,1,0,1,0,1,0,1
37,2,37,32,33,10,0,3,0,3,6,4
38,2,38,33,34,4,0,1,0,1,2,4
39,2,39,10,35,2,0,0,1,1,0,2
40,2,40,27,4,6,0,1,0,1,4,5
41,2,41,4,36,7,0,1,0,1,6,2
42,2,42,34,37,2,0,0,1,1,0,2
43,2,43,35,38,5,0,0,2,2,2,5
44,2,44,36,39,5,0,4,0,4,1,2
45,2,45,31,40,1,0,1,0,1,0,1
46,2,46,37,21,2,1,0,0,0,0,2
47,2,47,5,41,8,0,0,4,4,2,5
48,2,48,26,42,4,0,2,0,2,1,3
49,2,49,38,43,2,0,1,0,1,1,2
50,2,50,39,44,4,1,0,0,0,2,4
51,2,51,28,45,2,0,1,0,1,1,2
52,2,52,31,46,1,0,1,0,1,0,1
53,2,53,31,47,3,0,1,0,1,1,2
54,2,54,40,48,3,1,0,0,0,1,3
55,2,55,18,49,2,0,2,0,2,0,1
56,3,56,41,50,2,1,0,0,0,0,2
57,3,57,42,28,2,1,0,0,0,0,2
58,3,58,43,51,2,0,0,0,0,1,2
59,2,59,44,43,11,5,0,0,0,5,4
60,3,60,4,40,4,0,1,0,1,2,3
61,3,61,27,52,6,0,3,1,4,1,5
62,3,62,33,53,2,0,1,0,1,1,2
63,3,63,45,54,3,0,0,1,1,1,5
64,3,64,46,55,2,0,0,0,0,2,2
65,3,65,24,56,7,0,2,0,2,4,5
66,3,66,47,57,11,2,4,2,6,2,4
67,3,67,48,58,2,0,1,0,1,1,2
68,3,68,14,15,1,0,0,0,0,1,1
69,3,69,49,59,5,0,2,1,3,1,2
70,3,70,50,60,4,0,2,2,4,0,2
71,3,71,51,28,5,0,1,0,1,3,3
72,3,72,5,61,2,0,0,1,1,1,2
73,3,73,52,62,3,0,0,0,0,2,4
74,3,74,53,63,3,0,0,0,0,2,2
75,3,75,54,64,2,1,1,0,1,0,2
76,3,76,55,65,3,0,1,1,2,1,3
77,3,77,5,66,3,0,1,0,1,1,3
78,3,78,54,67,3,1,0,0,0,1,3
79,3,79,33,28,5,0,2,2,4,0,2
80,4,80,56,68,4,0,2,0,2,0,4
81,4,81,55,69,2,0,0,1,1,0,2
82,4,82,57,70,4,0,1,0,1,2,3
83,4,83,14,58,2,0,0,0,0,1,3
84,4,84,4,67,7,0,5,0,5,1,4
85,4,85,50,60,7,0,0,4,4,2,3
86,4,86,58,60,6,0,4,0,4,1,3
87,4,87,59,2,3,0,0,0,0,2,5
88,4,88,22,71,3,0,2,0,2,1,2
89,4,89,60,72,2,0,1,0,1,0,2
90,4,90,61,73,3,1,0,0,0,2,2
91,4,91,62,2,3,0,1,0,1,1,3
92,3,92,63,74,1,0,0,0,0,0,1
93,4,93,4,75,3,0,1,0,1,1,3
94,4,87,64,15,5,0,2,0,2,2,3
95,4,94,65,76,2,0,0,0,0,1,4
96,3,95,10,77,1,0,1,0,1,0,1
97,4,96,6,78,4,0,1,1,2,1,3
98,4,97,66,76,14,1,8,3,11,1,7
99,4,98,67,67,17,0,2,0,2,15,2
100,4,99,68,79,2,1,0,0,0,0,2
101,4,100,3,47,6,0,5,0,5,1,2
102,4,101,69,80,2,0,0,1,1,0,2
103,4,102,28,81,2,0,0,1,1,1,2
104,4,103,70,60,2,0,0,1,1,1,2
105,4,104,6,82,4,0,2,0,2,1,2
106,4,105,71,83,3,0,1,0,1,1,3
107,5,18,61,84,23,6,15,0,15,0,3
108,5,106,33,15,3,0,1,0,1,1,3
109,4,107,72,85,3,2,0,0,0,1,2
110,5,108,73,86,2,0,1,0,1,1,2
111,5,109,74,87,5,0,1,0,1,3,4
112,5,110,75,88,6,0,3,1,4,1,3
113,5,111,76,89,2,0,0,0,0,2,2
114,5,112,35,15,2,0,1,0,1,0,2
115,5,113,22,90,3,0,1,0,1,1,3
116,5,114,33,91,7,0,1,1,2,4,3
117,5,115,27,92,3,0,1,0,1,1,3
118,5,116,77,93,3,0,1,0,1,1,3
119,5,117,78,76,13,1,3,0,3,7,6
120,5,118,28,2,6,0,5,0,5,0,2
121,5,119,79,94,4,0,1,0,1,1,4
122,5,120,80,95,6,0,3,0,3,3,2
123,5,121,33,96,7,0,5,0,5,1,3
124,5,122,81,71,5,0,1,0,1,4,5
125,5,123,82,97,3,1,0,0,0,2,3
126,5,124,83,98,1,1,0,0,0,0,1
127,5,125,61,99,3,1,0,0,0,1,4
128,5,126,84,100,2,0,1,0,1,1,2
129,5,127,4,27,3,0,0,1,1,1,3
130,5,128,33,101,3,0,0,1,1,1,4
131,4,129,85,14,3,0,1,0,1,1,6
132,5,130,28,102,9,0,4,0,4,5,5
133,5,31,86,58,1,0,0,0,0,1,1
134,5,131,27,103,3,0,1,0,1,1,3
135,5,132,87,104,2,0,0,0,0,2,2
136,5,133,88,105,5,0,0,0,0,4,4
137,5,134,5,106,3,0,0,1,1,1,3
138,5,135,89,107,5,0,0,0,0,4,6
139,5,136,4,108,3,0,1,0,1,2,2
140,5,137,90,109,1,0,1,0,1,0,1
141,5,138,91,110,2,1,1,0,1,0,2
142,5,139,27,111,2,0,0,1,1,1,2
143,5,140,92,54,2,0,0,0,0,1,2
144,6,141,27,112,2,0,1,0,1,0,2
145,5,142,62,14,4,0,0,3,3,0,3
146,6,143,93,113,2,1,0,0,0,1,2
147,6,144,28,114,3,0,1,0,1,1,3
148,5,47,21,115,3,0,1,0,1,2,1
149,6,145,22,30,3,0,1,0,1,1,3
150,6,146,94,14,2,0,1,0,1,1,2
151,6,147,95,39,2,0,1,0,1,1,2
152,6,148,35,116,5,0,1,0,1,4,2
153,6,149,96,117,9,0,2,1,3,5,5
154,6,150,5,76,5,0,2,0,2,2,3
155,6,151,60,118,2,0,1,0,1,0,3
156,6,152,97,102,2,0,0,1,1,1,2
157,6,153,67,2,7,0,5,0,5,1,3
158,6,154,2,119,2,0,0,1,1,1,2
159,6,155,98,14,3,0,0,0,0,2,4
160,6,156,22,120,4,0,2,0,2,1,3
161,6,157,35,121,3,0,1,1,2,1,2
162,6,158,99,122,3,0,3,0,3,0,1
163,6,159,33,60,5,0,0,1,1,3,3
164,6,160,100,2,3,0,0,0,0,2,2
165,6,161,76,123,4,0,0,0,0,4,3
166,6,162,101,124,2,0,2,0,2,0,1
167,6,163,69,125,5,0,2,0,2,2,5
168,6,164,61,15,3,1,0,0,0,1,3
169,6,165,81,122,9,0,1,0,1,8,3
170,6,166,102,126,4,0,1,0,1,2,3
171,6,167,103,101,3,0,1,0,1,2,2
172,6,168,4,127,2,0,1,0,1,0,2
173,6,169,104,128,2,0,1,0,1,1,2
174,6,170,33,129,3,0,0,1,1,1,3
175,6,7,105,130,2,1,0,0,0,1,2
176,6,171,14,78,1,0,0,0,0,1,1
177,6,172,106,37,1,0,1,0,1,0,1
178,6,173,13,131,3,0,0,1,1,1,4
179,6,174,4,20,4,0,3,0,3,0,2
180,6,175,14,28,2,0,0,0,0,2,1
181,6,176,34,132,3,0,1,0,1,1,3
182,6,177,52,133,4,0,0,0,0,2,3
183,6,178,20,134,2,0,0,1,1,0,2
184,7,179,69,135,1,0,1,0,1,0,1
185,7,180,69,136,1,0,1,0,1,0,1
186,7,181,107,137,1,0,1,0,1,0,1
187,6,182,108,47,3,0,0,0,0,2,4
188,7,183,109,28,3,1,0,0,0,1,3
189,6,184,110,64,2,0,1,0,1,0,2
190,7,185,48,138,7,0,2,0,2,5,2
191,7,186,6,139,2,0,0,1,1,0,2
192,6,187,4,140,4,0,1,0,1,2,5
193,7,188,4,87,8,0,3,0,3,5,3
194,7,189,111,141,10,0,0,0,0,9,6
195,7,190,112,40,6,0,0,0,0,5,3
196,7,191,4,58,2,0,1,0,1,0,2
197,7,192,113,142,3,0,2,0,2,1,2
198,7,193,114,143,3,0,2,0,2,1,2
199,7,194,69,60,4,0,2,0,2,2,4
200,7,195,115,52,2,0,0,1,1,1,2
201,7,196,115,144,2,0,1,0,1,0,2
202,7,197,116,15,2,0,1,0,1,1,2
203,7,198,117,73,3,0,2,0,2,0,4
204,7,199,118,2,2,1,0,0,0,0,2
205,7,200,14,2,2,0,0,0,0,1,2
206,7,201,22,30,5,0,2,0,2,2,5
207,7,202,119,14,2,0,0,1,1,0,3
208,7,66,27,67,2,0,0,1,1,0,2
209,7,203,96,2,4,0,2,0,2,1,2
210,7,204,5,128,6,0,3,1,4,1,3
211,7,205,20,54,1,0,1,0,1,0,1
212,6,206,20,145,4,0,3,0,3,0,2
213,7,207,114,122,2,0,1,0,1,1,1
214,7,208,120,58,2,0,0,0,0,1,2
215,7,209,121,2,3,0,1,0,1,1,3
216,7,150,14,14,2,0,0,0,0,1,2
217,7,210,58,130,7,0,1,5,6,1,4
218,7,211,28,69,2,0,0,1,1,1,2
219,7,212,122,146,3,0,0,1,1,1,3
220,7,213,123,2,2,0,0,1,1,0,2
221,7,214,84,147,3,0,0,1,1,1,4
222,7,215,58,14,5,0,1,0,1,3,7
223,7,216,13,64,1,0,0,1,1,0,1
224,7,217,110,136,2,0,1,0,1,0,2
225,7,182,120,20,2,0,0,0,0,1,2
226,7,218,69,65,1,0,1,0,1,0,1
227,7,219,18,65,2,0,1,0,1,1,1
228,8,220,22,21,3,0,1,0,1,0,3
229,7,221,20,136,2,0,1,0,1,0,2
230,8,222,124,148,2,0,0,0,0,1,2
231,8,223,4,149,2,0,0,1,1,1,2
232,8,224,122,150,2,0,0,1,1,1,2
233,8,225,14,151,2,0,0,0,0,1,2
234,8,226,60,152,2,0,1,0,1,0,2
235,8,224,125,101,5,0,0,0,0,4,2
236,8,227,22,89,7,0,1,0,1,5,4
237,7,228,126,65,2,0,0,1,1,0,2
238,8,229,22,30,4,0,1,0,1,3,2
239,8,230,27,14,5,0,1,0,1,3,3
240,8,231,127,153,2,0,0,0,0,1,2
241,8,232,22,154,2,0,1,0,1,1,2
242,8,233,31,102,1,0,0,1,1,0,1
243,8,205,48,155,3,0,1,0,1,1,3
244,8,234,69,125,2,0,1,0,1,0,2
245,8,235,3,156,3,0,0,1,1,1,3
246,8,236,128,56,6,0,1,0,1,5,4
247,8,237,48,157,6,0,4,0,4,1,3
248,8,238,129,158,2,0,0,0,0,1,2
249,8,239,130,102,4,0,1,0,1,3,3
250,8,240,131,78,5,0,0,0,0,5,2
251,8,241,132,159,4,0,2,0,2,1,3
252,8,242,60,54,2,0,1,0,1,0,2
253,8,243,97,160,4,0,0,1,1,3,2
254,8,244,4,2,6,0,1,0,1,5,2
255,8,245,27,26,2,0,1,0,1,0,2
256,8,246,69,8,3,0,1,0,1,1,2
257,8,247,74,56,47,0,3,0,3,43,4
258,8,248,133,58,2,0,1,0,1,0,2
259,8,249,27,161,3,0,1,0,1,1,3
260,8,250,134,56,3,0,0,0,0,2,2
261,8,251,135,162,2,0,0,0,0,1,2
262,8,252,28,163,7,0,1,0,1,5,5
263,8,249,33,164,3,0,1,0,1,1,3
264,8,253,136,165,2,1,0,0,0,1,2
265,8,254,35,12,3,0,1,0,1,1,3
266,8,255,4,166,4,0,0,3,3,1,2
267,4,256,137,167,2,0,0,0,0,1,2
268,8,257,138,168,3,0,1,0,1,1,3
269,8,258,139,169,1,0,0,0,0,1,1
270,8,259,140,132,7,1,0,4,4,1,4
271,8,260,14,28,2,0,0,0,0,1,2
272,8,261,141,170,4,0,1,0,1,2,4
273,8,262,20,67,4,0,0,3,3,0,2
274,9,263,142,171,2,0,0,0,0,0,2
275,9,264,143,28,1,0,1,0,1,0,1
276,8,265,27,172,3,0,1,0,1,2,2
277,9,266,144,173,2,0,0,1,1,1,2
278,9,267,145,174,3,0,0,0,0,2,5
279,9,268,28,35,6,0,1,0,1,5,2
280,9,269,31,136,1,0,1,0,1,0,1
281,8,270,27,50,1,0,1,0,1,0,1
282,9,271,33,175,2,0,2,0,2,0,2
283,9,272,146,176,3,0,2,0,2,1,2
284,9,273,34,177,10,0,0,1,1,9,3
285,9,274,106,2,5,0,1,0,1,3,4
286,9,275,27,178,3,0,0,1,1,1,4
287,9,276,21,12,1,0,1,0,1,0,1
288,9,277,18,6,1,0,1,0,1,0,1
289,9,278,33,179,5,0,1,0,1,4,2
290,9,279,27,2,3,0,0,1,1,1,4
291,9,280,147,60,7,3,0,0,0,4,2
292,9,32,148,52,2,1,0,0,0,0,2
293,9,281,4,59,4,0,1,0,1,2,7
294,9,282,60,54,2,0,1,0,1,0,4
295,9,283,149,2,4,1,0,0,0,3,2
296,9,284,26,180,3,0,1,0,1,1,3
297,9,285,150,54,1,0,0,1,1,0,1
298,9,286,28,12,2,0,1,0,1,0,2
299,9,287,69,181,2,0,1,0,1,0,2
300,9,288,151,182,2,0,0,0,0,2,2
301,9,289,62,134,2,0,1,0,1,0,2
302,9,290,118,77,3,1,0,0,0,1,3
303,9,291,152,183,1,0,1,0,1,0,1
304,9,292,112,20,4,0,0,0,0,3,3
305,9,31,153,184,2,1,0,0,0,1,2
306,9,293,4,40,5,0,2,2,4,1,2
307,9,96,4,47,3,0,1,0,1,2,2
308,10,294,4,62,3,0,1,0,1,2,2
309,10,295,18,185,1,0,1,0,1,0,1
310,10,296,5,186,4,0,2,0,2,2,2
311,9,297,154,2,2,0,0,1,1,1,2
312,10,298,155,24,2,0,0,0,0,1,2
313,10,299,4,51,3,0,0,1,1,1,3
314,10,300,3,187,2,0,1,0,1,1,2
315,10,301,27,188,2,0,0,1,1,1,2
316,10,302,124,143,1,0,0,0,0,1,1
317,10,303,156,189,3,0,0,0,0,2,4
318,10,296,157,190,4,0,1,0,1,2,4
319,10,304,158,102,2,0,0,1,1,1,2
320,10,305,46,191,6,0,0,0,0,6,3
321,10,306,28,192,7,0,2,0,2,4,4
