uf;acidentes;mortos;feridos;veiculos
AC;94;7;118;171
AL;203;30;244;376
AM;44;11;53;98
AP;52;6;63;106
BA;1344;177;1798;2961
CE;343;45;422;704
DF;327;18;349;644
ES;763;48;991;1561
GO;1101;107;1225;2174
MA;431;77;435;928
MG;2985;269;3816;5781
MS;523;44;580;1072
MT;847;74;873;2034
PA;332;45;339;817
PB;602;40;713;1083
PE;1086;111;1222;2122
PI;462;55;527;866
PR;2561;192;2932;5217
RJ;2099;122;2493;3909
RN;464;38;543;865
RO;594;33;687;1234
RR;39;8;70;67
RS;1488;108;1703;2853
SC;2847;138;3341;5544
SE;183;14;179;338
SP;1416;57;1572;2810
TO;245;44;269;547
